timestamp,fuel_type,dispatch_group,installed_capacity_mw,dispatched_mw,dispatched_mwh,curtailed_mw,online_status,startup,marginal_cost_jpy_mwh
2025-04-01 02:30:00,coal_usc,dispatchable,24000.0,24000.0,12000.0,0.0,1,0,8308.38025210084
2025-04-01 02:30:00,hydro,dispatchable,10000.0,10000.0,5000.0,0.0,1,1,0.0
2025-04-01 02:30:00,lng_ccgt,dispatchable,65000.0,19500.0,9750.0,0.0,1,0,14038.203704075098
2025-04-01 02:30:00,lng_ocgt,dispatchable,15000.0,0.0,0.0,0.0,0,0,20964.605499990303
2025-04-01 02:30:00,nuclear,must_run,10000.0,10000.0,5000.0,0.0,1,0,0.0
2025-04-01 02:30:00,oil,dispatchable,15000.0,0.0,0.0,0.0,0,0,20795.172413793105
2025-04-01 02:30:00,solar,renewable,80000.0,0.0,0.0,0.0,1,0,0.0
2025-04-01 02:30:00,wind,renewable,5000.0,761.0,380.5,0.0,1,0,0.0
2025-04-01 03:00:00,biomass,dispatchable,5000.0,5000.0,2500.0,0.0,1,0,9150.0
2025-04-01 03:00:00,coal_old,dispatchable,21000.0,19402.0,9701.0,0.0,1,0,10500.661764705881
2025-04-01 03:00:00,coal_usc,dispatchable,24000.0,24000.0,12000.0,0.0,1,0,8308.38025210084
2025-04-01 03:00:00,hydro,dispatchable,10000.0,10000.0,5000.0,0.0,1,1,0.0
2025-04-01 03:00:00,lng_ccgt,dispatchable,65000.0,19500.0,9750.0,0.0,1,0,14038.203704075098
2025-04-01 03:00:00,lng_ocgt,dispatchable,15000.0,0.0,0.0,0.0,0,0,20964.605499990303
2025-04-01 03:00:00,nuclear,must_run,10000.0,10000.0,5000.0,0.0,1,0,0.0
2025-04-01 03:00:00,oil,dispatchable,15000.0,0.0,0.0,0.0,0,0,20795.172413793105
2025-04-01 03:00:00,solar,renewable,80000.0,0.0,0.0,0.0,1,0,0.0
2025-04-01 03:00:00,wind,renewable,5000.0,795.0,397.5,0.0,1,0,0.0
2025-04-01 03:30:00,biomass,dispatchable,5000.0,5000.0,2500.0,0.0,1,0,9150.0
2025-04-01 03:30:00,coal_old,dispatchable,21000.0,19835.0,9917.5,0.0,1,0,10500.661764705881
2025-04-01 03:30:00,coal_usc,dispatchable,24000.0,24000.0,12000.0,0.0,1,0,8308.38025210084
2025-04-01 03:30:00,hydro,dispatchable,10000.0,10000.0,5000.0,0.0,1,1,0.0
2025-04-01 03:30:00,lng_ccgt,dispatchable,65000.0,19500.0,9750.0,0.0,1,0,14038.203704075098
2025-04-01 03:30:00,lng_ocgt,dispatchable,15000.0,0.0,0.0,0.0,0,0,20964.605499990303
2025-04-01 03:30:00,nuclear,must_run,10000.0,10000.0,5000.0,0.0,1,0,0.0
2025-04-01 03:30:00,oil,dispatchable,15000.0,0.0,0.0,0.0,0,0,20795.172413793105
2025-04-01 03:30:00,solar,renewable,80000.0,0.0,0.0,0.0,1,0,0.0
2025-04-01 03:30:00,wind,renewable,5000.0,857.0,428.5,0.0,1,0,0.0
2025-04-01 04:00:00,biomass,dispatchable,5000.0,5000.0,2500.0,0.0,1,0,9150.0
2025-04-01 04:00:00,coal_old,dispatchable,21000.0,20581.0,10290.5,0.0,1,0,10500.661764705881
2025-04-01 04:00:00,coal_usc,dispatchable,24000.0,24000.0,12000.0,0.0,1,0,8308.38025210084
