marginal_fuel,mean_error,std_error,count
lng_ccgt,2.253875559983729,3.404946871030022,15947
lng_ocgt,-1.142418077034866,4.479263412023459,383
oil,-4.983505747126436,7.1304564476478935,6
renewable_curtailment,-0.01,0.0,32
