scenario,avg_price_jpy_kwh,std_price_jpy_kwh,total_generation_twh,low_price_hours,curtailment_twh,gen_biomass_twh,gen_coal_old_twh,gen_coal_usc_twh,gen_hydro_twh,gen_lng_ccgt_twh,gen_lng_ocgt_twh,gen_nuclear_twh,gen_oil_twh,gen_solar_twh,gen_wind_twh,cf_biomass,cf_coal_old,cf_coal_usc,cf_hydro,cf_lng_ccgt,cf_lng_ocgt,cf_nuclear,cf_oil,cf_solar,cf_wind
base,13.100946138628627,1.2500093927736122,805.044566,32,0.0584515,35.88728,131.7399575,172.0911445,79.0548055,205.8994095,0.991133,75.8712,0.003193,91.3393781882977,12.167064811702295,0.8770107526881721,0.7665360837639064,0.8761564460125448,0.965967809139785,0.38705806733588993,0.008073745519713262,0.927067448680352,2.601010101010101e-05,0.13950906981350455,0.29733784974834543
nuclear_restart,12.877640585529763,1.2404877149840532,805.0445659999999,120,0.508938,33.209307,104.335804,166.490119,78.379008,129.8937115,0.00266,189.678,0.0,90.90607173932418,12.149884760675814,0.811566642228739,0.6070835311641763,0.8476403093434344,0.9577102639296188,0.24417947120084216,2.166829586184425e-05,0.927067448680352,0.0,0.1388472503349893,0.29691800490410103
lng_price_shock,18.733728207276563,1.2270858849686919,805.044566,32,0.0584515,35.88728,131.7399575,172.0911445,79.0548055,205.8994095,0.0036455,75.8712,0.9906805,91.3393781882977,12.167064811702295,0.8770107526881721,0.7665360837639064,0.8761564460125448,0.965967809139785,0.38705806733588993,2.9696155099380904e-05,0.927067448680352,0.008070059465623981,0.13950906981350455,0.29733784974834543
solar_doubling,12.31842741257281,3.1957103107014264,805.044566,944,8.405181,30.466737,108.5063485,152.8092995,73.7118485,176.498185,0.6243555,75.8712,0.001032,174.53025065895676,12.025309341043235,0.7445439149560117,0.6313500704045059,0.777988043234767,0.9006824108015641,0.3317884521392586,0.005085984848484848,0.927067448680352,8.406647116324536e-06,0.13328617627303027,0.29387363981044073
