fuel_type,generation_delta_twh,capacity_factor_delta
biomass,-4.970329499999998,-0.12146455278592377
coal,-49.93663899999996,-0.13559421907244495
hydro,-11.92330149999998,-0.06622290444770285
lng_ccgt,-18.899420999999997,-0.03552789871418904
lng_ocgt,0.0,0.0
nuclear,0.0,0.0
oil,0.0,0.0
solar,85.82525339669196,-0.004253795288879925
wind,-0.09556239669193545,-0.0023353469377305758
