fuel_type,generation_delta_twh,capacity_factor_delta
biomass,-2.6779729999999944,-0.0654441104594331
coal_old,-27.404153500000007,-0.15945255259973
coal_usc,-5.60102550000002,-0.02851613666911046
hydro,-0.6757975000000016,-0.008257545210166195
lng_ccgt,-76.005698,-0.14287859613504778
lng_ocgt,-0.988473,-0.008052077223851418
nuclear,113.8068,0.0
oil,-0.003193,-2.601010101010101e-05
solar,-0.433306448973525,-0.0006618194785152631
wind,-0.01718005102648057,-0.00041984484424439916
