hour,mean_error,std_error,count
0,2.527957576007367,1.2281226763949114,682
1,2.9172537636906513,1.3071417546275779,682
2,2.8702449660366924,1.256590904423227,682
3,2.632121798881267,1.1652064616210438,682
4,2.4595998047463694,1.1442134476929202,682
5,2.3342772241012084,1.3181529384816453,682
6,2.290095797101124,2.428523029278012,682
7,2.7500964823249996,3.2063985205081043,682
8,3.1290834814349284,3.3503697219024233,682
9,3.484243764866114,3.507947209679289,682
10,4.506366444270853,3.4958481390716445,682
11,4.946375610125354,3.793812730451144,682
12,5.788003176107759,3.6067933773121412,682
13,4.122671429608097,3.920813038171153,682
14,3.3291452592918245,4.34239150521351,682
15,1.8289085332534805,4.20190551108091,682
16,-0.23551864114971233,4.318079959979367,682
17,-1.0677268813044805,3.536852009808556,682
18,-1.247184939392029,3.416643791560109,682
19,-0.8284095879285699,2.926484607916357,682
20,-0.3509195348042532,2.5398029517543197,682
21,0.4394614865130207,2.059547903776974,682
22,1.1710514176495954,1.5833133855568344,682
23,2.2186174000542875,1.2889574721760075,682
